年份,报考人数,通过人数
2020,530,50.3
2019,439,43.9
2018,403.6,40
2017,186.68,85.3
2016,144.6,36.8
2015,128.8,23.6
2014,111.1,15.5
2013,100.3,10.5
2012,90.6,8.95
2011,99.5,9.11
2010,89.1,10.55
